Run;DropRate;Utilization;AverageResponseTime
78;0.10;0.87;6.66s
79;0.10;0.87;6.69s
80;0.10;0.87;6.74s
81;0.10;0.87;6.69s
82;0.11;0.88;6.81s
83;0.10;0.87;6.68s
84;0.10;0.88;6.75s
85;0.10;0.87;6.68s
86;0.09;0.86;6.64s
87;0.10;0.87;6.70s
88;0.11;0.87;6.74s
89;0.10;0.87;6.65s
90;0.11;0.88;6.70s
91;0.11;0.87;6.73s
92;0.10;0.87;6.71s
93;0.10;0.87;6.65s
94;0.10;0.87;6.67s
95;0.10;0.88;6.70s
96;0.10;0.87;6.67s
97;0.09;0.87;6.62s
98;0.11;0.87;6.71s
99;0.10;0.87;6.72s
100;0.11;0.87;6.70s
101;0.11;0.87;6.74s
102;0.11;0.87;6.76s
103;0.10;0.87;6.69s
104;0.10;0.87;6.69s
105;0.10;0.87;6.75s
106;0.11;0.88;6.79s
107;0.10;0.87;6.69s
108;0.11;0.87;6.68s
109;0.10;0.88;6.71s
110;0.10;0.87;6.73s
111;0.11;0.87;6.71s
112;0.10;0.87;6.66s
113;0.10;0.87;6.67s
114;0.10;0.88;6.69s
115;0.10;0.87;6.66s
116;0.10;0.87;6.73s
117;0.10;0.87;6.72s
118;0.10;0.87;6.70s
119;0.10;0.87;6.75s
120;0.10;0.87;6.68s
121;0.10;0.86;6.71s
122;0.10;0.86;6.66s
123;0.10;0.87;6.70s
124;0.10;0.87;6.68s
125;0.10;0.87;6.70s
126;0.10;0.87;6.66s
127;0.10;0.87;6.73s
128;0.11;0.87;6.73s
129;0.10;0.87;6.70s
130;0.10;0.87;6.71s
131;0.10;0.87;6.68s
132;0.10;0.87;6.71s
133;0.10;0.87;6.69s
134;0.10;0.87;6.69s
135;0.10;0.87;6.70s
136;0.10;0.87;6.67s
137;0.10;0.87;6.69s
138;0.10;0.88;6.72s
139;0.09;0.87;6.69s
140;0.11;0.87;6.71s
141;0.10;0.87;6.69s
142;0.10;0.87;6.69s
143;0.10;0.87;6.73s
144;0.11;0.88;6.74s
145;0.10;0.87;6.71s
146;0.10;0.87;6.69s
147;0.10;0.86;6.67s
148;0.10;0.87;6.68s
149;0.10;0.87;6.71s
150;0.10;0.87;6.68s
151;0.10;0.87;6.70s
152;0.10;0.87;6.71s
153;0.11;0.88;6.73s
154;0.10;0.87;6.69s
155;0.10;0.87;6.72s
156;0.11;0.87;6.74s
157;0.10;0.87;6.68s
158;0.10;0.87;6.68s
159;0.10;0.87;6.73s
160;0.10;0.87;6.70s
161;0.10;0.88;6.77s
162;0.10;0.87;6.66s
163;0.10;0.87;6.74s
164;0.11;0.87;6.70s
165;0.09;0.87;6.67s
166;0.09;0.87;6.66s
167;0.11;0.88;6.74s
168;0.11;0.88;6.77s
169;0.10;0.87;6.69s
170;0.10;0.87;6.67s
171;0.11;0.87;6.75s
172;0.10;0.87;6.68s
173;0.10;0.87;6.69s
174;0.10;0.87;6.73s
175;0.10;0.86;6.68s
176;0.10;0.87;6.76s
177;0.11;0.87;6.72s
178;0.10;0.86;6.66s
179;0.09;0.87;6.66s
180;0.10;0.87;6.68s
181;0.10;0.87;6.71s
182;0.11;0.87;6.69s
183;0.10;0.87;6.69s
184;0.10;0.87;6.71s
185;0.10;0.87;6.71s
186;0.09;0.86;6.63s
187;0.10;0.87;6.70s
188;0.10;0.87;6.72s
189;0.11;0.87;6.76s
190;0.10;0.88;6.73s
191;0.10;0.87;6.69s
192;0.10;0.87;6.70s
193;0.10;0.87;6.71s
194;0.10;0.86;6.66s
195;0.11;0.88;6.76s
196;0.10;0.87;6.66s
197;0.10;0.87;6.72s
198;0.10;0.87;6.70s
199;0.10;0.87;6.71s
200;0.10;0.86;6.66s
